family,virus,G,K,time,ref,group,mu,muref
virga,TMV,6395,2.90E-04,109,39,ss_pos_RNA,8.70E-06,sanjuan_2010
virga,TMV,6395,2.90E-04,109,39,ss_pos_RNA,8.70E-06,sanjuan_2010
virga,TMV,6395,1.60E-04,109,39,ss_pos_RNA,8.70E-06,sanjuan_2010
picorna,polio1,7440,1.17E-02,24,25,ss_pos_RNA,9.00E-05,sanjuan_2010
flavi,HCV,9628,1.39E-03,19,16,ss_pos_RNA,1.20E-04,sanjuan_2010
flavi,HCV,9628,1.15E-03,19,16,ss_pos_RNA,1.20E-04,sanjuan_2010
flavi,HCV,9628,1.30E-03,30,17,ss_pos_RNA,1.20E-04,sanjuan_2010
flavi,HCV,9628,1.00E-03,30,17,ss_pos_RNA,1.20E-04,sanjuan_2010
flavi,HCV,9628,2.10E-03,17,17,ss_pos_RNA,1.20E-04,sanjuan_2010
flavi,HCV,9628,1.20E-03,17,17,ss_pos_RNA,1.20E-04,sanjuan_2010
ortho,fluva,13588,3.15E-03,49,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,2.86E-03,47,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.48E-03,47,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.92E-03,70,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.17E-03,49,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.61E-03,46,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,2.49E-03,49,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.87E-03,47,45,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.28E-03,74,46,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,1.82E-03,23,46,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,2.11E-03,39,46,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.12E-03,29,46,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.20E-03,72,46,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,4.31E-03,11,46,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,7.84E-03,1,47,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,1.98E-03,91,48,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.43E-03,2,48,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,2.29E-03,79,48,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,3.41E-03,82,48,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,2.80E-03,30,48,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,2.25E-03,55,48,ss_neg_RNA,2.30E-05,sanjuan_2010
ortho,fluva,13588,9.00E-04,45,48,ss_neg_RNA,2.30E-05,sanjuan_2010
retro,HIV,9749,2.50E-03,11,68,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.80E-03,12,68,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,2.06E-03,15,69,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.89E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.55E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.42E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.55E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.13E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,2.41E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,2.56E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,3.63E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,2.46E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,2.55E-03,2,70,RT,2.40E-05,sanjuan_2010
retro,HIV,9749,1.08E-02,9,72,RT,2.40E-05,sanjuan_2010
herpes,HSV1,152261,8.21E-05,27,82,dsDNA,5.90E-08,sanjuan_2010
hepadna,AHBV,3027,7.32E-04,16,66,RT,2.00E-05,sanjuan_2010
